 ,Label,Area,Mean,Min,Max,X,Y,BX,BY,Width,Height
8666,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0292-1379,1201,18576.034,274,62423,352.493,203.820,332,222,43,37
8667,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0293-1380,670,15234.909,174,60161,440.661,201.736,426,220,28,35
8668,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0294-1381,612,14287.930,125,55808,612.204,202.492,598,219,28,35
8669,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0295-1383,1107,21211.242,87,65535,674.309,200.453,656,219,37,38
8670,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0296-1394,778,14804.932,185,45945,540.084,190.174,522,205,35,32
8671,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0297-1401,503,15233.207,169,55653,1343.605,182.898,1330,196,31,29
8672,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0298-1419,654,13692.969,114,63733,946.613,164.153,929,181,30,35
8673,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0299-1430,1127,14541.244,98,53962,1093.012,158.241,1077,179,36,53
8674,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0300-1418,436,13766.149,116,55928,157.736,164.140,144,177,28,25
8675,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0301-1433,577,14151.541,201,59623,118.373,151.372,101,170,29,41
8676,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0302-1432,1240,14298.539,137,50917,367.340,151.348,346,170,45,38
8677,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0303-1436,586,13869.841,109,48258,894.776,147.000,880,161,32,28
8678,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0304-1444,882,14570.420,128,51451,1349.535,138.833,1329,154,43,31
8679,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0305-1444,556,16001.545,123,59246,1140.371,138.888,1127,152,27,26
8680,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0306-1447,458,13611.779,123,54896,478.229,134.568,462,148,32,25
8681,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0307-1454,742,13885.900,68,53442,1016.643,126.978,1001,148,29,38
8682,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0308-1450,438,13923.847,574,42545,1461.717,133.053,1448,146,29,27
8683,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0309-1460,744,17604.991,114,65535,636.770,122.829,621,138,31,31
8684,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0310-1462,846,17751.638,468,53650,859.220,120.481,842,138,35,34
8685,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0311-1462,565,13657.722,226,44707,208.670,118.950,190,133,35,25
8686,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0312-1474,749,14773.802,149,49840,161.549,107.775,145,125,34,32
8687,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0313-1479,1017,14278.002,100,58510,355.230,104.260,336,122,39,36
8688,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0314-1483,433,13327.106,217,44987,250.084,98.645,239,117,23,34
8689,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0315-1486,984,13954.564,82,45645,1163.377,97.209,1142,114,41,34
8690,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0316-1489,843,16968.089,295,57891,665.005,95.870,649,112,35,36
8691,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0317-1489,677,14405.804,91,55451,308.258,92.357,291,109,35,31
8692,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0318-1493,456,14133.083,331,53147,494.557,91.132,479,104,26,28
